hotel_unit,name,rating,date,review,processed_review,translated_review
GDHY,FA,9.1,2018-09-11,"Lumayan dengan harga yang diberikan. Bathtub bocor tidak bisa dipakai. Kamar luas, nyaman, TV LCD. Menu breakfast kurang variatif, enak sebenarnya, parkir motor tidak memadai.",lumayan harga beri bathtub bocor pakai kamar luas nyaman tv lcd menu breakfast kurang variatif enak benar parkir motor pada,"Not bad for the price, give a leaky bathtub, use a spacious, comfortable room, LCD TV, the breakfast menu isn't very varied, it's delicious, motorbike parking is right there"
GDHY,as,8.5,2017-12-27,"Sangat memuaskan, makanannya enak sekali.",sangat muas makan enak sekali,very satisfied eating very delicious
GDHY,jodra,5.8,2019-05-02,WiFi terlalu lemot dan list jendela kamar kotor banget. Lainnya oke lah.,wifi terlalu lambat list jendela kamar kotor banget lain oke lah,"wifi is too slow, the room window list is really dirty, everything else is okay"
GDHY,AH,8.5,2017-01-23,Pelayanannya sangat baik apalagi pada saat penerimaan di receptionist. Apalagi pada saat pengantaran ke bandara,layan sangat baik terima receptionist antar bandara,very good service received by the receptionist between the airports
GDHY,ZE,10.0,2023-04-30,"Pengalaman hebat dengan hotel ini, pelayanan dan fasilitasnya sangat bagus, semua tim sekuritas dan pelayan Restoran Sarapan Pagi (Mas Fatur dan Mba Nora) yang sangat mendukung kami, lain kali ketika kami kembali mengunjungi Jogja, kami akan menginap di hotel yang direkomendasikan ini lagi. 👍🏻",alam hebat hotel layan fasilitas sangat bagus semua tim sekuritas layan restoran sarap pagi mas fatur mbak nora sangat dukung kali unjung jogja inap hotel rekomendasi,"great nature, hotel service, very good facilities, all securities team serves restaurant, breakfast, bro, Fatur, Miss Nora, very supportive, visiting Jogja, recommended hotel stay"
GDHY,AS,9.7,2018-12-27,"Kamarnya luas dengan pemandangan kota yang bagus, lokasinya bagus meskipun bangunan tua hotelnya sangat nyaman dan stafnya sangat ramah",kamar luas pandang kota bagus lokasi bagus meski bangun tua hotel sangat nyaman staf sangat ramah,"spacious rooms with good city views, good location, even though it is old, the hotel is very comfortable, the staff are very friendly"
GDHY,Andien A.,6.9,2019-11-06,"WiFi sering putus-putus, harga makanan di restorannya mahal-mahal.",wifi sering putusputus harga makan restoran mahalmahal,"wifi is often intermittent, the price of eating at expensive restaurants is expensive"
GDHY,ANDY I. L.,10.0,2019-01-08,"Saya sangat senang bisa menginap di Grand Quality Hotel. Nuansa yang sangat hangat yang diberikan dari karyawan-karyawan hotel kepada saya sebagai tamu hotel, selain itu menu makanan untuk sarapan sangat variatif, dan shuttle dari/ke bandara, stasiun free. Terima kasih Grand Quality.",sangat senang inap grand quality hotel nuansa sangat hangat beri karyawankaryawan hotel tamu hotel menu makan sarap sangat variatif shuttle darike bandara stasiun free terima kasih grand quality,"Very happy to stay at Grand Quality Hotel, very warm atmosphere, give hotel employees, hotel guests, breakfast menu is very varied, shuttle from airport to station is free, thank you, Grand Quality"
GDHY,S,9.1,2017-07-21,"Hotel bersih, nyaman dan lokasi dekat bandara, sehingga bisa rileks.",hotel bersih nyaman lokasi dekat bandara rileks,"clean comfortable hotel, relaxed location near the airport"
GDHY,PM,9.7,2019-01-05,"Apa yang tidak disukai ... lokasi, lokasi, lokasi, kamar bersih besar, tempat tidur nyaman dengan bantuan liberal staf yang penuh perhatian dan membantu. GQ adalah pilihan saya untuk tinggal di Yogyakarta - saya berbicara dari pengalaman setelah beberapa kali menginap, serta mencicipi properti lainnya ..... tapi GQ adalah pilihan utama saya. Sudah selesai dilakukan dengan baik!",apa suka lokasi lokasi lokasi kamar bersih besar tempat tidur nyaman bantu liberal staf penuh perhati bantu gq pilih tinggal yogyakarta bicara alam beberapa kali inap cicip properti lain gq pilih utama selesai laku baik,what do you like location location location clean big room comfortable bed liberal help attentive staff helpful gq choose stay yogyakarta talk nature several stays taste other properties gq choose main finish sell well
